id,titre,date_publication,annee,kilometrage_km,prix_eur,ville,departement,code_postal,type_vendeur,carburant,boite_vitesse,portes,url
3148060176,BMW Z3 Roadster 1.9 I 115 Garantie 1 an possible,20/02/2026,2001,118000,10990,La Garnache,,,pro,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3148060176
3146090473,BMW Z3 Roadster 1.9i - 140 - BVA,16/02/2026,1998,113000,12000,Chassant,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3146090473
2467645393,BMWZ3 4 cylindres 1.9,13/02/2026,2001,100000,13590,Montbéliard,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/2467645393
3015960937,Bmw z3,29/12/2025,1997,110000,10990,Noron-la-Poterie,,,pro,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3015960937
3132126949,"Bmw z3 1,9 l 118 cv Historique complet",22/01/2026,2003,111000,15000,Toutainville,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3132126949
2995541774,Bmw z3 1.9 roadster,20/01/2026,1999,109300,11490,Sainte-Cécile-les-Vignes,,,pro,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/2995541774
3084063693,Bmw Z3 Roadster 1.9l 2002,19/01/2026,2002,107000,13400,Joigny,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3084063693
3023489662,BMW Z3 CABRIOLET HARDTOP ROADSTER 1.9 i CLIM,18/01/2026,2001,100000,9900,Avignon,,,pro,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3023489662
2987641932,BMW Z3 roadster 1.9 i 130 CV 105800kms,06/01/2026,1997,105800,11999,Nomexy,,,pro,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/2987641932
3118046334,BMW Z3 Pack M 1.9,27/12/2025,1999,114900,21000,Saint-Leu,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3118046334
3146508158,BMW Z3 Roadster 1.9 (estimation via description complète),17/02/2026,1997,119500,10590,Mulhouse,,,pro,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3146508158
3115604626,Roadster BMW Z3 1.9 Cabriolet Décapotable RHD,21/01/2026,1999,112500,4000,Bouloc,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3115604626
3080889450,Bmw z3 1.9 140ch,20/01/2026,1999,103000,13000,Lourties-Monbrun,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3080889450
3091128456,BMW Z3 1.9i 118ch,14/01/2026,1998,124500,10200,Orléans,,,particulier,essence,manuelle,2,https://www.leboncoin.fr/ad/voitures/3091128456
