titre,date_publication,annee,kilometrage_km,prix_eur,ville,type_vendeur,url,date_csv
BMW Z3 Roadster 1.9 I 115 Garantie 1 an possible,2026-02-20 09:28:01,2001,118000,10990,La Garnache,pro,https://www.leboncoin.fr/ad/voitures/3148060176,2026-02-20
BMW Z3 Roadster 1.9i - 140 - BVA,2026-02-16 15:30:57,1998,113000,12000,Chassant,particulier,https://www.leboncoin.fr/ad/voitures/3146090473,2026-02-20
BMWZ3 4 cylindres 1.9,2026-02-13 14:43:47,2001,100000,13590,Montbéliard,particulier,https://www.leboncoin.fr/ad/voitures/2467645393,2026-02-20
Bmw z3,2025-12-29 09:14:24,1997,110000,10990,Noron-la-Poterie,pro,https://www.leboncoin.fr/ad/voitures/3015960937,2026-02-20
"Bmw z3 1,9 l 118 cv Historique complet",2026-01-22 17:54:38,2003,111000,15000,Toutainville,particulier,https://www.leboncoin.fr/ad/voitures/3132126949,2026-02-20
Bmw z3 1.9 roadster,2026-01-20 13:55:29,1999,109300,11490,Sainte-Cécile-les-Vignes,pro,https://www.leboncoin.fr/ad/voitures/2995541774,2026-02-20
Bmw Z3 Roadster 1.9l 2002,2026-01-19 17:33:04,2002,107000,13400,Joigny,particulier,https://www.leboncoin.fr/ad/voitures/3084063693,2026-02-20
BMW Z3 CABRIOLET HARDTOP ROADSTER 1.9 i CLIM,2026-01-18 14:06:51,2001,100000,9900,Avignon,pro,https://www.leboncoin.fr/ad/voitures/3023489662,2026-02-20
BMW Z3 roadster 1.9 i 130 CV 105800kms,2026-01-06 09:38:43,1997,105800,11999,Nomexy,pro,https://www.leboncoin.fr/ad/voitures/2987641932,2026-02-20
BMW Z3 Pack M 1.9,2025-12-27 07:47:50,1999,114900,21000,Saint-Leu,particulier,https://www.leboncoin.fr/ad/voitures/3118046334,2026-02-20
BMW Z3 Roadster 1.9 (estimation via description complète),2026-02-17 10:25:39,1997,119500,10590,Mulhouse,pro,https://www.leboncoin.fr/ad/voitures/3146508158,2026-02-20
