titre,date_publication,annee,kilometrage_km,prix_eur,ville,type_vendeur,url,date_csv
BMW Z3 1.9 140,2026-02-11,1996.0,170794.0,7990.0,Non spécifiée,Professionnel,https://www.lacentrale.fr/voiture-occasion-bmw-z3-z3.html,2026-02-16
BMW Z3 1.9 140,2026-02-11,1998.0,150000.0,8490.0,Non spécifiée,Professionnel,https://www.lacentrale.fr/voiture-occasion-bmw-z3-z3.html,2026-02-16
BMW Z3 1.9 140,2026-02-11,1997.0,202084.0,9000.0,Non spécifiée,Professionnel,https://www.lacentrale.fr/voiture-occasion-bmw-z3-z3.html,2026-02-16
BMW Z3,2025-05-17,,120300.0,9200.0,Centre-Val de Loire,Particulier,https://www.lacentrale.fr/auto-occasion-annonce-66102703909.html,2026-02-16
BMW Z3 Roadster 1.9i 140 BVA E36,2026-02-11,1997.0,149761.0,9490.0,Non spécifiée,Professionnel,https://www.lacentrale.fr/voiture-occasion-bmw-z3-z3.html,2026-02-16
BMW Z3 1.9 140,2026-02-11,1999.0,146000.0,10990.0,Pornichet,Professionnel,https://www.lacentrale.fr/voiture-occasion-bmw-z3-z3.html,2026-02-16
BMW Z3 1.9 118,2026-02-11,1999.0,109300.0,11490.0,Non spécifiée,Professionnel,https://www.lacentrale.fr/voiture-occasion-bmw-z3-z3.html,2026-02-16
BMW Z3 1.9l 118ch,2025-06-26,2001.0,95000.0,12500.0,Auvergne-Rhône-Alpes (69440),Professionnel,https://www.leparking.fr/voiture-occasion/bmw-z3-1.9l.html,2026-02-16
BMW Z3 1.9 118 Ch Bvm Individual Velvet Blau Suivi Complet,2026-02-11,1999.0,106000.0,12990.0,Pornichet (44),Professionnel,https://www.ouestfrance-auto.com/voiture-occasion/bmw-z3/,2026-02-16
BMW Z3 Roadster Cabriolet 1.9l 118 cv capote électrique,2025-04-16,2001.0,81700.0,13990.0,Hauts-de-France (59770),Professionnel,https://www.leparking.fr/voiture-occasion/bmw-z3-1.9l.html,2026-02-16
BMW Z3 1.9 140,2026-02-11,1998.0,67800.0,14990.0,Non spécifiée,Professionnel,https://www.lacentrale.fr/voiture-occasion-bmw-z3-z3.html,2026-02-16
BMW Z3 Roadster 1.9L Phase 1 118 Ch Vert Dunkel Cuir Noir,2026-02-11,1999.0,82900.0,,Normandie,Professionnel,https://www.aanormandie.fr/vehicule/bmw-z3-roadster-1-9l-phase-1-140-ch-bleu-montreal-cuir-77800-kms-1ere-main/,2026-02-16
BMW Z3 Roadster 1.9i 140 E36,2026-02-11,,,,Châteaubernard (16),Professionnel,https://www.annonces-automobile.com/l-bm/bmw/z3,2026-02-16
