id,titre,date_publication,annee,kilometrage_km,prix_eur,ville,departement,code_postal,type_vendeur,carburant,boite_vitesse,portes,url
2467645393,"BMWZ3 4 cylindres 1.9","13/02/2026",2001,100000,13590,"Montbéliard","Doubs","25200","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/2467645393"
3132126949,"Bmw z3 1,9 l 118 cv Historique complet","22/01/2026",2003,111000,15000,"Toutainville","Eure","27500","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3132126949"
3118046334,"BMW Z3 Pack M 1.9","21/01/2026",1999,114900,21000,"Saint-Leu","","97436","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3118046334"
3115604626,"Roadster BMW Z3 1.9 Cabriolet Décapotable RHD","21/01/2026",1999,112500,4000,"Bouloc","Haute-Garonne","31620","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3115604626"
3080889450,"Bmw z3 1.9 140ch","20/01/2026",1999,103000,13000,"Lourties-Monbrun","Gers","32140","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3080889450"
3084063693,"Bmw Z3 Roadster 1.9l 2002","19/01/2026",2002,107000,13400,"Joigny","Yonne","89300","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3084063693"
3023489662,"BMW Z3 CABRIOLET HARDTOP ROADSTER 1.9 i CLIM 9900EUROS","18/01/2026",2001,100000,9900,"Avignon","Vaucluse","84000","professionnel","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3023489662"
2995541774,"Bmw z3 1.9 roadster","17/01/2026",1999,109300,11490,"Sainte-Cécile-les-Vignes","Vaucluse","84290","professionnel","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/2995541774"
2987641932,"BMW Z3 roadster 1.9 i 130 CV français carnet complet 105800kms","15/01/2026",1997,105800,11999,"Nomexy","Vosges","88440","professionnel","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/2987641932"
3091128456,"BMW Z3 1.9i 118ch","14/01/2026",1998,124500,10200,"Orléans","Loiret","45000","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3091128456"
3079982211,"BMW Z3 Roadster 1.9","12/01/2026",2000,98000,12500,"Lyon","Rhône","69000","professionnel","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3079982211"
3057764320,"BMW Z3 1.9i 140ch","10/01/2026",1999,121000,11800,"Nantes","Loire-Atlantique","44000","particulier","essence","manuelle",2,"https://www.leboncoin.fr/ad/voitures/3057764320"
